OCCUPANCY_DATE,SECTOR,Sector_Sum
2024-01-01,Families,2476
2024-01-01,Men,2228
2024-01-01,Mixed Adult,3299
2024-01-01,Women,1101
2024-01-01,Youth,668
2024-01-02,Families,2466
2024-01-02,Men,2228
2024-01-02,Mixed Adult,3327
2024-01-02,Women,1102
2024-01-02,Youth,666
2024-01-03,Families,2469
2024-01-03,Men,2224
2024-01-03,Mixed Adult,3337
2024-01-03,Women,1102
2024-01-03,Youth,666
2024-01-04,Families,2467
2024-01-04,Men,2224
2024-01-04,Mixed Adult,3345
2024-01-04,Women,1104
2024-01-04,Youth,669
2024-01-05,Families,2466
2024-01-05,Men,2227
2024-01-05,Mixed Adult,3331
2024-01-05,Women,1106
2024-01-05,Youth,667
2024-01-06,Families,2449
2024-01-06,Men,2226
2024-01-06,Mixed Adult,3310
2024-01-06,Women,1105
2024-01-06,Youth,670
2024-01-07,Families,2458
2024-01-07,Men,2230
2024-01-07,Mixed Adult,3278
2024-01-07,Women,1104
2024-01-07,Youth,670
2024-01-08,Families,2447
2024-01-08,Men,2231
2024-01-08,Mixed Adult,3269
2024-01-08,Women,1104
2024-01-08,Youth,671
2024-01-09,Families,2447
2024-01-09,Men,2230
2024-01-09,Mixed Adult,3333
2024-01-09,Women,1099
2024-01-09,Youth,671
2024-01-10,Families,2454
2024-01-10,Men,2230
2024-01-10,Mixed Adult,3363
2024-01-10,Women,1097
2024-01-10,Youth,671
2024-01-11,Families,2452
2024-01-11,Men,2229
2024-01-11,Mixed Adult,3386
2024-01-11,Women,1104
2024-01-11,Youth,668
2024-01-12,Families,2459
2024-01-12,Men,2228
2024-01-12,Mixed Adult,3390
2024-01-12,Women,1104
2024-01-12,Youth,670
2024-01-13,Families,2457
2024-01-13,Men,2235
2024-01-13,Mixed Adult,3393
2024-01-13,Women,1105
2024-01-13,Youth,670
2024-01-14,Families,2449
2024-01-14,Men,2236
2024-01-14,Mixed Adult,3412
2024-01-14,Women,1105
2024-01-14,Youth,670
2024-01-15,Families,2445
2024-01-15,Men,2236
2024-01-15,Mixed Adult,3412
2024-01-15,Women,1105
2024-01-15,Youth,671
2024-01-16,Families,2430
2024-01-16,Men,2235
2024-01-16,Mixed Adult,3454
2024-01-16,Women,1105
2024-01-16,Youth,669
2024-01-17,Families,2443
2024-01-17,Men,2235
2024-01-17,Mixed Adult,3457
2024-01-17,Women,1102
2024-01-17,Youth,664
2024-01-18,Families,2456
2024-01-18,Men,2242
2024-01-18,Mixed Adult,3459
2024-01-18,Women,1100
2024-01-18,Youth,662
2024-01-19,Families,2458
2024-01-19,Men,2243
2024-01-19,Mixed Adult,3468
2024-01-19,Women,1102
2024-01-19,Youth,664
2024-01-20,Families,2451
2024-01-20,Men,2244
2024-01-20,Mixed Adult,3472
2024-01-20,Women,1102
2024-01-20,Youth,667
2024-01-21,Families,2447
2024-01-21,Men,2245
2024-01-21,Mixed Adult,3455
2024-01-21,Women,1104
2024-01-21,Youth,666
